rev, STARTS, Ekstazi
rev_2, 0, 0
rev_4, 22, 22
rev_5, 6, 6
rev_6, 5, 5
rev_7, 22, 22
rev_8, 71, 71
rev_10, 6, 6
rev_11, 39, 39
rev_13, 0, 0
rev_14, 0, 0
rev_15, 0, 0
rev_16, -, -
rev_18, 0, 0
rev_20, 0, 0
rev_21, 1, 1
rev_25, 0, 0
rev_26, 1, 1
rev_27, 1, 1
rev_28, 8, 8
rev_30, 0, 0
rev_31, 0, 0
rev_32, 0, 0
