rev, STARTS, Ekstazi
rev_9, 90, 90
rev_12, 77, 77
rev_13, -, -
rev_14, -, -
rev_15, 77, 77
rev_25, 77, 77
rev_26, 77, 77
rev_27, 0, -
rev_28, -, -
rev_29, -, -
rev_30, 77, 77
rev_39, -, -
rev_40, -, -
rev_41, -, -
rev_42, -, -
rev_44, -, -
rev_45, -, -
rev_46, -, -
rev_50, 91, 91
